Date : 2023-12-18 09:58:30
Directory : /Users/fxzer/Program/Vue/vite
Total : 1662 files,  77738 codes, 5551 comments, 14096 blanks, all 97385 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-browser-field-bare/internal.js                              | JavaScript              |          3 |          1 |          3 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-browser-field-bare/package.json                             | JSON                    |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-compiled-from-cjs/index.js                                  | JavaScript              |          5 |          0 |          1 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-compiled-from-cjs/package.json                              | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-compiled-from-esm/index.js                                  | JavaScript              |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-compiled-from-esm/package.json                              | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-with-assets/foo.css                                         | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-with-assets/index.js                                        | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-cjs-with-assets/package.json                                    | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-css-require/index.cjs                                           | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-css-require/mod.cjs                                             | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-css-require/mod.module.css                                      | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-css-require/package.json                                        | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-css-require/style.css                                           | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-esbuild-plugin-transform/index.js                               | JavaScript              |          1 |          1 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-esbuild-plugin-transform/package.json                           | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked-include/Test.vue                                         | Vue                     |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked-include/foo.js                                           | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked-include/index.mjs                                        | JavaScript              |         13 |          2 |          7 |         22 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked-include/package.json                                     | JSON                    |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked-include/test.css                                         | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked/index.js                                                 | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-linked/package.json                                             | JSON                    |         10 |          0 |          1 |         11 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-node-env/index.js                                               | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-node-env/package.json                                           | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-non-optimized/index.js                                          | JavaScript              |          5 |          1 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-non-optimized/package.json                                      | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-not-js/foo.js                                                   | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-not-js/package.json                                             | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-exports-with-glob/glob/bar.js                          | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-exports-with-glob/glob/foo.js                          | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-exports-with-glob/glob/nested/baz.js                   | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-exports-with-glob/index.js                             | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-exports-with-glob/named.js                             | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-exports-with-glob/package.json                         | JSON                    |         11 |          0 |          1 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-with-glob/glob/bar.js                                  | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-with-glob/glob/foo.js                                  | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-with-glob/glob/nested/baz.js                           | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-with-glob/index.js                                     | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-with-glob/named.js                                     | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-optimize-with-glob/package.json                                 | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-relative-to-main/entry.js                                       | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-relative-to-main/lib/main.js                                    | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-relative-to-main/package.json                                   | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-builtin-module-cjs/index.js                                | JavaScript              |         10 |          8 |          4 |         22 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-builtin-module-cjs/package.json                            | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-builtin-module-esm/index.js                                | JavaScript              |         15 |          6 |          4 |         25 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-builtin-module-esm/package.json                            | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-dynamic-import/dynamic.js                                  | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-dynamic-import/index.js                                    | JavaScript              |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-dynamic-import/package.json                                | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-optional-peer-dep-submodule/index.js                       | JavaScript              |          6 |          0 |          2 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-optional-peer-dep-submodule/package.json                   | JSON                    |         15 |          0 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-optional-peer-dep/index.js                                 | JavaScript              |          6 |          0 |          2 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dep-with-optional-peer-dep/package.json                             | JSON                    |         15 |          0 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/dynamic-use-dep-alias-using-absolute-path.js                        | JavaScript              |          1 |          5 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/generics.vue                                                        | Vue                     |         12 |          7 |          4 |         23 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/glob/foo.js                                                         | JavaScript              |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/index.html                                                          | HTML                    |        204 |          0 |         62 |        266 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/long-file-name.js                                                   | JavaScript              |          3 |          0 |          2 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/longfilename/index.js                                               | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/longfilename/package.json                                           | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/nested-exclude/index.js                                             | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/nested-exclude/package.json                                         | JSON                    |         10 |          0 |          1 |         11 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/nested-include/index.js                                             | JavaScript              |          1 |          1 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/nested-include/package.json                                         | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/non-optimizable-include/index.css                                   | CSS                     |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/non-optimizable-include/package.json                                | JSON                    |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/package.json                                                        | JSON                    |         49 |          0 |          1 |         50 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/unused-split-entry.js                                               | JavaScript              |          2 |          7 |          3 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-deps/vite.config.js                                                      | JavaScript              |        151 |         12 |          9 |        172 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/__test__/optimize-missing-deps.spec.ts                      | TypeScript              |         12 |          2 |          4 |         18 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/__test__/serve.ts                                           | TypeScript              |         28 |          3 |          5 |         36 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/index.html                                                  | HTML                    |         10 |          1 |          1 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/main.js                                                     | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/missing-dep/index.js                                        | JavaScript              |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/missing-dep/package.json                                    | JSON                    |         10 |          0 |          1 |         11 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/multi-entry-dep/index.browser.js                            | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/multi-entry-dep/index.js                                    | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/multi-entry-dep/package.json                                | JSON                    |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/package.json                                                | JSON                    |         15 |          0 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/optimize-missing-deps/server.js                                                   | JavaScript              |         50 |          7 |         12 |         69 |
| /Users/fxzer/Program/Vue/vite/playground/package.json                                                                      | JSON                    |         15 |          0 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/preload/__tests__/preload-disabled/preload-disabled.spec.ts                       | TypeScript              |         22 |          0 |          6 |         28 |
| /Users/fxzer/Program/Vue/vite/playground/preload/__tests__/preload.spec.ts                                                 | TypeScript              |         24 |          0 |          5 |         29 |
| /Users/fxzer/Program/Vue/vite/playground/preload/__tests__/resolve-deps/preload-resolve-deps.spec.ts                       | TypeScript              |         25 |          0 |          5 |         30 |
| /Users/fxzer/Program/Vue/vite/playground/preload/dep-a/index.js                                                            | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/preload/dep-a/package.json                                                        | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/preload/dep-including-a/index.js                                                  | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/preload/dep-including-a/package.json                                              | JSON                    |         10 |          0 |          1 |         11 |
| /Users/fxzer/Program/Vue/vite/playground/preload/index.html                                                                | HTML                    |         18 |          0 |          3 |         21 |
| /Users/fxzer/Program/Vue/vite/playground/preload/package.json                                                              | JSON                    |         25 |          0 |          1 |         26 |
| /Users/fxzer/Program/Vue/vite/playground/preload/public/preloaded.js                                                       | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/preload/src/about.js                                                              | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/preload/src/chunk.js                                                              | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/preload/src/hello.js                                                              | JavaScript              |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/preload/src/hello.module.css                                                      | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/preload/src/main.js                                                               | JavaScript              |         17 |          0 |          4 |         21 |
| /Users/fxzer/Program/Vue/vite/playground/preload/vite.config-preload-disabled.js                                           | JavaScript              |         26 |          0 |          2 |         28 |
| /Users/fxzer/Program/Vue/vite/playground/preload/vite.config-resolve-deps.js                                               | JavaScript              |         41 |          0 |          2 |         43 |
| /Users/fxzer/Program/Vue/vite/playground/preload/vite.config.ts                                                            | TypeScript              |         24 |          0 |          2 |         26 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/__tests__/preserve-symlinks.spec.ts                             | TypeScript              |         10 |          0 |          3 |         13 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/index.html                                                      | HTML                    |         13 |          0 |          1 |         14 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/module-a/linked.js                                              | JavaScript              |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/module-a/package.json                                           | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/module-a/src/data.js                                            | JavaScript              |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/module-a/src/index.js                                           | JavaScript              |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/package.json                                                    | JSON                    |         14 |          0 |          1 |         15 |
| /Users/fxzer/Program/Vue/vite/playground/preserve-symlinks/src/main.js                                                     | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-bypass/__tests__/proxy-hmr.spec.ts                                          | TypeScript              |          7 |          0 |          2 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-bypass/index.html                                                           | HTML                    |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-bypass/package.json                                                         | JSON                    |         11 |          0 |          1 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-bypass/vite.config.js                                                       | JavaScript              |         14 |          0 |          2 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/__tests__/proxy-hmr.spec.ts                                             | TypeScript              |         23 |          1 |          3 |         27 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/__tests__/serve.ts                                                      | TypeScript              |         21 |          2 |          5 |         28 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/index.html                                                              | HTML                    |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/other-app/index.html                                                    | HTML                    |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/other-app/package.json                                                  | JSON                    |         11 |          0 |          1 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/other-app/vite.config.js                                                | JavaScript              |          8 |          0 |          2 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/package.json                                                            | JSON                    |         11 |          0 |          1 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/proxy-hmr/vite.config.js                                                          | JavaScript              |         12 |          0 |          2 |         14 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-config/__tests__/resolve-config.spec.ts                                   | TypeScript              |         65 |          0 |          5 |         70 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-config/__tests__/serve.ts                                                 | TypeScript              |         28 |          6 |         10 |         44 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-config/package.json                                                       | JSON                    |         11 |          0 |          1 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-config/root/index.js                                                      | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-config/root/vite.config.ts                                                | TypeScript              |         11 |          0 |          2 |         13 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-linked/dep.js                                                             | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-linked/package.json                                                       | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/resolve-linked/src/index.js                                                       | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/__tests__/mainfields-custom-first/resolve-mainfields-custom-first.spec.ts | TypeScript              |          7 |          0 |          2 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/__tests__/resolve.spec.ts                                                 | TypeScript              |        184 |          4 |         48 |        236 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/absolute.js                                                               | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field-bare-import-fail/main.js                                    | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field-bare-import-fail/module.js                                  | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field-bare-import-fail/package.json                               | JSON                    |          8 |          0 |          1 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field-bare-import-success/main.js                                 | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field-bare-import-success/module.js                               | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field-bare-import-success/package.json                            | JSON                    |          8 |          0 |          1 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/bare-import.js                                              | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/multiple.dot.path.js                                        | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/no-ext-index/index.js                                       | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/no-ext.js                                                   | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/not-browser.js                                              | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/out/cjs.node.js                                             | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/out/esm.browser.js                                          | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/package.json                                                | JSON                    |         23 |          0 |          1 |         24 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-field/relative.js                                                 | JavaScript              |          8 |          1 |          2 |         11 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field1/index.js                                            | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field1/index.web.js                                        | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field1/package.json                                        | JSON                    |          8 |          0 |          1 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field2/index.js                                            | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field2/index.web.js                                        | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field2/package.json                                        | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field3/index.js                                            | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field3/index.web.js                                        | JavaScript              |          5 |          0 |          3 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/browser-module-field3/package.json                                        | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/config-dep.cjs                                                            | JavaScript              |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-browser-main-field/index.browser.js                                | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-browser-main-field/index.custom.js                                 | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-browser-main-field/index.js                                        | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-browser-main-field/package.json                                    | JSON                    |          8 |          0 |          1 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-condition/index.custom.js                                          | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-condition/index.js                                                 | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-condition/package.json                                             | JSON                    |         13 |          0 |          1 |         14 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-main-field/index.custom.js                                         | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-main-field/index.js                                                | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/custom-main-field/package.json                                            | JSON                    |          7 |          0 |          1 |          8 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/dir-with-ext/index.js                                                     | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/dir.js                                                                    | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/dir/index.js                                                              | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/drive-relative.js                                                         | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exact-extension/file.js                                                   | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exact-extension/file.js.js                                                | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exact-extension/file.json.js                                              | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-and-nested-scope/index.js                                         | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-and-nested-scope/nested-scope/file.js                             | JavaScript              |          2 |          1 |          2 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-and-nested-scope/nested-scope/package.json                        | JSON                    |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-and-nested-scope/package.json                                     | JSON                    |         10 |          0 |          1 |         11 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-env/browser.js                                                    | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-env/browser.mjs                                                   | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-env/browser.prod.mjs                                              | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-env/fallback.umd.js                                               | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-env/package.json                                                  | JSON                    |         15 |          0 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-from-root/file.js                                                 | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-from-root/index.js                                                | JavaScript              |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-from-root/nested/file.js                                          | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-from-root/nested/package.json                                     | JSON                    |          5 |          0 |          1 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-from-root/package.json                                            | JSON                    |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-legacy-fallback/dir/index.js                                      | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-legacy-fallback/dir/index.mjs                                     | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-legacy-fallback/dir/package.json                                  | JSON                    |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-legacy-fallback/index.js                                          | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-legacy-fallback/package.json                                      | JSON                    |         12 |          0 |          1 |         13 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-path/cjs.js                                                       | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-path/deep.js                                                      | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-path/deep.json                                                    | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-path/dir/dir.js                                                   | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-path/main.js                                                      | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-path/package.json                                                 | JSON                    |         18 |          0 |          1 |         19 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-with-module-condition-required/index.cjs                          | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-with-module-condition-required/package.json                       | JSON                    |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/resolve/exports-with-module-condition/index.esm.js                                | JavaScript              |          1 |          0 |          1 |          2 |
